algo,reward,seed,flow,cycle_num,queue_length
fixed,-,-,low,44,0.9444444444444444
fixed,-,-,low,45,1.6666666666666667
fixed,-,-,low,46,2.111111111111111
fixed,-,-,low,47,1.1111111111111112
fixed,-,-,low,48,2.0
fixed,-,-,low,49,2.2777777777777777
fixed,-,-,low,50,1.3333333333333333
fixed,-,-,low,51,1.8888888888888888
fixed,-,-,low,52,1.3888888888888888
fixed,-,-,low,53,1.5555555555555556
fixed,-,-,low,54,1.5555555555555556
fixed,-,-,low,55,1.3
webster,-,-,low,0,0.5168539325842697
webster,-,-,low,1,0.15555555555555556
webster,-,-,low,2,0.15555555555555556
webster,-,-,low,3,0.17777777777777778
webster,-,-,low,4,0.1111111111111111
webster,-,-,low,5,0.2777777777777778
webster,-,-,low,6,0.2222222222222222
webster,-,-,low,7,0.06666666666666667
webster,-,-,low,8,0.1111111111111111
webster,-,-,low,9,0.28888888888888886
webster,-,-,low,10,0.2
webster,-,-,low,11,0.32222222222222224
webster,-,-,low,12,0.1111111111111111
webster,-,-,low,13,0.15555555555555556
webster,-,-,low,14,0.3333333333333333
webster,-,-,low,15,0.17777777777777778
webster,-,-,low,16,0.14444444444444443
webster,-,-,low,17,0.05555555555555555
webster,-,-,low,18,0.36666666666666664
webster,-,-,low,19,0.32222222222222224
webster,-,-,low,20,0.2111111111111111
webster,-,-,low,21,0.3111111111111111
webster,-,-,low,22,0.24444444444444444
webster,-,-,low,23,0.26666666666666666
webster,-,-,low,24,0.17777777777777778
webster,-,-,low,25,0.25555555555555554
webster,-,-,low,26,0.17777777777777778
webster,-,-,low,27,0.14444444444444443
webster,-,-,low,28,0.15555555555555556
webster,-,-,low,29,0.2
webster,-,-,low,30,0.3
webster,-,-,low,31,0.3333333333333333
webster,-,-,low,32,0.25555555555555554
webster,-,-,low,33,0.3111111111111111
webster,-,-,low,34,0.06666666666666667
webster,-,-,low,35,0.13333333333333333
webster,-,-,low,36,0.18888888888888888
webster,-,-,low,37,0.18888888888888888
webster,-,-,low,38,0.37777777777777777
webster,-,-,low,39,0.12222222222222222
webster,-,-,low,40,0.06666666666666667
webster,-,-,low,41,0.2222222222222222
webster,-,-,low,42,0.3111111111111111
webster,-,-,low,43,0.2777777777777778
webster,-,-,low,44,0.1111111111111111
webster,-,-,low,45,0.08888888888888889
webster,-,-,low,46,0.18888888888888888
webster,-,-,low,47,0.14444444444444443
webster,-,-,low,48,0.25555555555555554
webster,-,-,low,49,0.4111111111111111
webster,-,-,low,50,0.1
webster,-,-,low,51,0.23333333333333334
webster,-,-,low,52,0.2111111111111111
webster,-,-,low,53,0.13333333333333333
webster,-,-,low,54,0.2
webster,-,-,low,55,0.3137254901960784
dqn,wait-clip,s123,high,0,1.0833333333333333
dqn,wait-clip,s123,high,1,3.6666666666666665
dqn,wait-clip,s123,high,2,3.7857142857142856
dqn,wait-clip,s123,high,3,3.6153846153846154
dqn,wait-clip,s123,high,4,3.8333333333333335
dqn,wait-clip,s123,high,5,3.3636363636363638
dqn,wait-clip,s123,high,6,3.0
dqn,wait-clip,s123,high,7,4.533333333333333
